Company annual reports page URL,Domain,Company,document link number,document link
https://investors.10xgenomics.com/,https://www.10xgenomics.com/,10x Genomics,4,
https://investor.2u.com/investor-relations/,https://2u.com/,2U Inc,5,
http://investor.3m.com/,http://www.3m.com/,3M Company,6,
https://investor.aosmith.com/,https://www.aosmith.com/,A. O. Smith Corporation,7,
http://investor.maersk.com/,http://www.maersk.com/,A.P. Moller â€“ Maersk,8,
http://www.abbott.com//investors.html,http://www.abbott.com/,Abbott Laboratories,9,
http://investors.abbvie.com/,http://www.abbvie.com/,AbbVie Inc.,10,
https://investors.abiomed.com/,https://www.abiomed.com/,Abiomed Inc,11,
https://www.acadiahealthcare.com//investors/,https://www.acadiahealthcare.com/,"Acadia Healthcare Company, Inc",12,
https://ir.acadia-pharm.com/annual-report-and-proxy,https://www.acadia-pharm.com/,Acadia Pharmaceuticals Inc,13,
